Gene,baseMean,log2FoldChange,pvalue,padj
FEV|54738,21.25278617,2.246457537,0.0223211168785184,0.0449709654762629
PHKG1|5260,1061.637694,2.245609409,0.000626427338850389,0.00190503011607571
CD68|968,6706.949174,2.245306306,1.17540831885349E-08,1.02547278981761E-07
SLC2A10|81031,1196.86208,2.245036615,5.50470030423885E-10,6.33911427871421E-09
STK17A|9263,3286.578802,2.244823476,5.45339031777397E-10,6.28377812661541E-09
GPR39|2863,166.269943,2.2447291,5.08924150756544E-06,2.52810660415735E-05
GSDMA|284110,47.04188838,2.243422481,0.0046748842705504,0.0114144104676768
PRSS33|260429,14.6491002,2.243408052,0.00390135121369854,0.00972388726722202
C17orf53|78995,149.5918341,2.242538523,7.35162098622965E-13,1.43818881545014E-11
DIAPH3|81624,210.4875021,2.242289949,6.94767903211474E-09,6.40295178454187E-08
ETV1|2115,7368.991192,2.242287694,1.0435712151693E-09,1.12901769899847E-08
ADAM6|8755,648.706044,2.241697385,NA,NA
TNFAIP6|7130,583.0172667,2.241071609,1.9486079456289E-05,8.44265468626142E-05
C1QC|714,13381.28054,2.238185804,1.20316287020828E-07,8.48548760637937E-07
PLSCR1|5359,2238.376882,2.237846123,8.49642665033833E-10,9.39183803199863E-09
FREM2|341640,1222.548663,2.237306921,3.80119181879561E-05,0.00015423051954722
HCRT|3060,1.943714383,2.236913576,0.411362023307878,0.525306988916627
NPC2|10577,8103.6536,2.235830782,1.71259287529275E-09,1.7808196211063E-08
CLECL1|160365,26.65100751,2.22801157,0.00013886721004034,0.000493480032142247
CLEC10A|10462,49.8498438,2.227665021,0.00208018287341891,0.00557751563043889
C1QL1|10882,4874.730891,2.227492965,0.000222480572708901,0.000751431932583083
PLIN2|123,2607.275149,2.227392206,2.96113882585193E-06,1.54957696179755E-05
HAUS8|93323,305.2614418,2.22373067,1.73317174284093E-15,5.40957115657908E-14
PTPRZ1|5803,61346.3885,2.22308852,1.24116946161778E-08,1.07987901421494E-07
FCGR1A|2209,1410.354237,2.221771656,5.99296968457846E-07,3.60681411063445E-06
CLDN23|137075,84.17778224,2.221519305,6.19312834658413E-05,0.000238870731208281
TMEM176B|28959,4521.152829,2.221439835,6.4689771077305E-06,3.1249711853497E-05
SUSD2|56241,409.5663404,2.220663241,8.14599709596169E-07,4.77158026067431E-06
SPP1|6696,136701.7483,2.219837782,5.62717160646346E-05,0.000218923987731088
TRIP13|9319,483.2625613,2.2196067,6.65042894724587E-11,9.16286599738754E-10
BATF|10538,57.00882749,2.217118955,1.71939883680338E-05,7.53418540733766E-05
AIM1|202,380.5725039,2.217109329,0.000155232645456206,0.000545605411480457
BMP1|649,2059.412405,2.215817289,2.83510654059437E-12,5.03094480786797E-11
TFCP2L1|29842,420.9811493,2.214830719,0.000581963447800763,0.00178408978776684
PMCH|5367,4.388339127,2.213891871,0.00838375922136346,0.0192792479280973
FAM3D|131177,6.728063909,2.213799397,0.00167943957392177,0.00461191043935773
CD72|971,133.7432032,2.213741304,4.67765063413089E-06,2.33991709236905E-05
OMP|4975,2.712692279,2.211728947,0.00628651892447049,0.0149170455817581
FABP7|2173,13715.68452,2.211019701,6.17001290542698E-05,0.000238217331730947
MYD88|4615,1872.07233,2.210670276,7.29340863482769E-22,6.28047139094604E-20
CEACAM3|1084,2.607007043,2.209370418,0.0106768239062071,0.0237018363824178
TRIM6|117854,146.154648,2.20888662,1.09008486378411E-06,6.21722263084912E-06
FST|10468,125.2821172,2.20745689,0.00133601366094376,0.0037637458019489
FAM26F|441168,277.5116668,2.206156694,1.4216993198934E-05,6.35986708013121E-05
RUNX1|861,1571.45059,2.205957713,4.99595521306363E-07,3.0476590798477E-06
CDC6|990,512.2909371,2.205492424,9.48404166520536E-10,1.03576617033977E-08
PARP9|83666,3028.448425,2.205401533,5.17940204499398E-12,8.71015571455003E-11
SDC1|6382,930.3875073,2.204695335,6.73023229992915E-05,0.000257053234062446
FAM72D|728833,107.1727401,2.204392033,6.93844569172235E-09,6.39749899367267E-08
C1S|716,8039.855285,2.203924425,1.81104948516954E-05,7.89453864845994E-05
RNASE6|6039,905.458422,2.203323818,9.85311218872883E-08,7.07582580075914E-07
SNORA67|26781,5.853709878,2.203128809,0.00183612872588771,0.00499747241338339
HFE|3077,243.1554778,2.20253268,7.13282340245185E-08,5.29376801115405E-07
CYTIP|9595,224.9289785,2.202331889,3.84925620636801E-07,2.41300952111253E-06
EPO|2056,9.898388835,2.201077868,0.00337625631880734,0.00854878027480636
ZNF300|91975,677.7501378,2.200865075,1.86995126281669E-08,1.58060867258857E-07
LOC154761|154761,164.5949763,2.200496287,7.54166601543861E-06,3.58038877114928E-05
MGC29506|51237,11.89145177,2.198731076,0.00988106730770733,0.0221726276522065
HAUS1|115106,941.6985767,2.198208662,2.10057845639359E-12,3.81525968412203E-11
FCGRT|2217,6745.623239,2.1968577,4.71874761254089E-15,1.36872064207972E-13
FAP|2191,313.2810844,2.195749746,0.000660450135676586,0.00199614896068093
TAGLN|6876,7258.329065,2.19526823,2.35330219695262E-05,9.99842424603945E-05
HYAL2|8692,3282.9033,2.192284797,3.18560236863399E-21,2.48773619791826E-19
RNASE4|6038,749.1636899,2.19198753,2.96448606713482E-09,2.9249090408677E-08
TGIF2|60436,816.7535306,2.19183782,2.2138475719402E-12,3.99839942089462E-11
STK33|65975,607.3350039,2.190590351,2.58047730330034E-09,2.58034353050079E-08
TRIB3|57761,1069.31853,2.189322809,1.20693860293577E-06,6.81118745231953E-06
CD300A|11314,979.7020083,2.188360081,4.31071970207856E-08,3.36501304465372E-07
RAD54B|25788,290.8939873,2.188264025,1.2181846133651E-14,3.24551975237562E-13
COL6A1|1291,17295.13425,2.18181947,3.01589883551702E-05,0.000125293285889054
DBI|1622,21570.52349,2.179460478,7.32950121041331E-10,8.20062348304305E-09
HLA-DOB|3112,45.82976634,2.178788121,1.04058854650712E-05,4.79043257125914E-05
CPA6|57094,6.647844788,2.17868151,0.0458490696897986,0.0842028663473794
RAB20|55647,777.6880649,2.178124354,1.89220532650572E-10,2.39807809086524E-09
RDM1|201299,26.54323361,2.176693302,0.000182217521019895,0.000630004259357008
CD80|941,16.56299602,2.175321616,0.000158007764726681,0.000554450022523732
C14orf166B|145497,1.994997054,2.175277259,0.00824065435457014,0.0189750485669456
DOK2|9046,113.6217383,2.174319517,4.11651366770544E-05,0.000165769169386994
CISH|1154,283.1499674,2.172460883,1.00487779536179E-05,4.6459941981624E-05
SLC1A5|6510,1214.003006,2.17143839,1.10537064245741E-08,9.68278579580422E-08
RNASE3|6037,43.28561826,2.170722803,0.000348739380946142,0.00112432457280129
HAPLN3|145864,303.4462958,2.170140151,9.31476660495838E-09,8.29896226526754E-08
HLA-A|3105,39057.95393,2.167927542,2.21899286348102E-08,1.85050381944166E-07
SMAGP|57228,152.016754,2.16700791,1.16826986138425E-05,5.31605504983272E-05
LAIR1|3903,1608.187068,2.163216408,2.59692853245634E-07,1.69344673639453E-06
ASCL1|429,1801.421531,2.162986203,4.86808236217555E-05,0.000192261344561843
IFI16|3428,4905.68769,2.162841782,1.90987918540554E-09,1.96059923402275E-08
STK17B|9262,1213.019474,2.158854133,1.51115739536096E-12,2.80006868387297E-11
NCRNA00152|112597,809.1062691,2.157555982,3.6528059582493E-06,1.87191748482122E-05
BCHE|590,2630.584427,2.154567137,7.04707674779574E-08,5.24021061635436E-07
GMNN|51053,1123.880056,2.152632211,5.71609603025391E-12,9.5709875284347E-11
TYMS|7298,2693.129542,2.152347917,2.76394214390278E-08,2.26097031440801E-07
BCL2A1|597,275.0446246,2.149971409,0.000132205821606685,0.000472857054138947
RTP4|64108,242.9413533,2.149808886,2.03928631567255E-06,1.1027696591816E-05
E2F5|1875,765.4268189,2.149361421,2.95355975399743E-14,7.37014412611337E-13
MMRN1|22915,293.1871438,2.147759542,2.78516970987091E-07,1.80460660173665E-06
UPP1|7378,1631.379129,2.145771143,5.53902260563419E-07,3.35033574914011E-06
CALD1|800,9760.241189,2.145650255,4.43984350456857E-15,1.29170650617833E-13
PRSS23|11098,2437.773975,2.144567492,3.44642544017646E-07,2.18462373695576E-06
RAB13|5872,2783.731783,2.144385676,7.26181313576656E-15,2.03341053940671E-13
C19orf35|374872,66.78579229,2.142478698,2.28575250640511E-07,1.50734632807002E-06
MSN|4478,19826.70825,2.141318066,7.3259955889618E-15,2.04502357330657E-13
